id,kind,section,deck,level,promptLine,question,choiceA,choiceB,choiceC,choiceD,correct,explanationA,explanationB,explanationC,explanationD,tags,difficulty
simplesentences1-006,vocab,Simple Sentences,Daily Actions,HSK1,nǐ xué Zhōng wén — 你学中文,What does this mean?,You teach Chinese,You study Chinese,I study Chinese,You speak Chinese,B,You teach Chinese is 你教中文 (nǐ jiāo Zhōng wén),Correct! 你学中文 (nǐ xué Zhōng wén) means 'You study Chinese',I study Chinese is 我学中文 (wǒ xué Zhōng wén),You speak Chinese is 你说中文 (nǐ shuō Zhōng wén),sentence;education,1
simplesentences1-007,vocab,Simple Sentences,Daily Actions,HSK1,tā jīn tiān gōng zuò — 他今天工作,What does this mean?,He/She works today,He/She worked today,He/She will work today,I work today,A,Correct! 他今天工作 (tā jīn tiān gōng zuò) means 'He/She works today',Past tense would need different structure,Future marker 会 or 要 would be needed,I work today is 我今天工作 (wǒ jīn tiān gōng zuò),sentence;work;time,1
simplesentences1-008,vocab,Simple Sentences,Daily Actions,HSK1,tā zài jiā xiū xi — 她在家休息,What does this mean?,He/She goes home to rest,He/She rests at home,I rest at home,He/She sleeps at home,B,To go home to rest would be 他/她回家休息 (tā huí jiā xiū xi),"Correct! 她在家休息 (tā zài jiā xiū xi) means 'He/She rests at home'. In speech, 他 and 她 are both pronounced tā.",I rest at home is 我在家休息 (wǒ zài jiā xiū xi),He/She sleeps at home is 他/她在家睡觉 (tā zài jiā shuì jiào),sentence;daily life,1
simplesentences1-009,vocab,Simple Sentences,Daily Actions,HSK1,wǒ kàn shū — 我看书,What does this mean?,I read a book,I buy a book,I write a book,You read a book,A,Correct! 我看书 (wǒ kàn shū) means 'I read a book',I buy a book is 我买书 (wǒ mǎi shū),I write a book is 我写书 (wǒ xiě shū),You read a book is 你看书 (nǐ kàn shū),sentence;education,1
simplesentences1-010,vocab,Simple Sentences,Daily Actions,HSK1,tā kàn diàn shì — 他看电视,What does this mean?,He/She listens to music,I watch TV,He/She watches TV,He/She buys a TV,C,He/She listens to music is 他/她听音乐 (tā tīng yīn yuè),I watch TV is 我看电视 (wǒ kàn diàn shì),Correct! 他看电视 (tā kàn diàn shì) means 'He/She watches TV',He/She buys a TV is 他/她买电视 (tā mǎi diàn shì),sentence;entertainment,1
simplesentences1-011,vocab,Simple Sentences,Daily Actions,HSK1,nǐ chī wǎn fàn — 你吃晚饭,What does this mean?,You eat breakfast,You cook dinner,You eat dinner,I eat dinner,C,You eat breakfast is 你吃早饭 (nǐ chī zǎo fàn),You cook dinner is 你做晚饭 (nǐ zuò wǎn fàn),Correct! 你吃晚饭 (nǐ chī wǎn fàn) means 'You eat dinner',I eat dinner is 我吃晚饭 (wǒ chī wǎn fàn),sentence;food,1
simplesentences1-012,vocab,Simple Sentences,Daily Actions,HSK1,wǒ qù xuéxiào — 我去学校,What does this mean?,I am at school,I go to school,You go to school,I leave school,B,I am at school is 我在学校 (wǒ zài xuéxiào),Correct! 我去学校 (wǒ qù xuéxiào) means 'I go to school',You go to school is 你去学校 (nǐ qù xuéxiào),I leave school is 我离开学校 (wǒ lí kāi xuéxiào),sentence;education,1
simplesentences1-013,vocab,Simple Sentences,Daily Actions,HSK1,tā mǎi dōng xi — 她买东西,What does this mean?,He/She sells things,I buy things,He/She buys things,He/She has things,C,He/She sells things is 他/她卖东西 (tā mài dōng xi),I buy things is 我买东西 (wǒ mǎi dōng xi),"Correct! 她买东西 (tā mǎi dōng xi) means 'He/She buys things'. In speech, 他 and 她 are both pronounced tā.",He/She has things is 他/她有东西 (tā yǒu dōng xi),sentence;shopping,1
simplesentences1-014,vocab,Simple Sentences,Daily Actions,HSK1,wǒ zuò fàn — 我做饭,What does this mean?,I eat,I order food,You cook,I cook,D,I eat is 我吃 (wǒ chī) or 我吃饭 (wǒ chī fàn),I order food is 我点菜 (wǒ diǎn cài),You cook is 你做饭 (nǐ zuò fàn),Correct! 我做饭 (wǒ zuò fàn) means 'I cook',sentence;food,1
simplesentences1-015,vocab,Simple Sentences,Daily Actions,HSK1,tā shuì jiào — 他睡觉,What does this mean?,He/She wakes up,I sleep,He/She sleeps,He/She is tired,C,He/She wakes up is 他/她起床 (tā qǐ chuáng),I sleep is 我睡觉 (wǒ shuì jiào),Correct! 他睡觉 (tā shuì jiào) means 'He/She sleeps',He/She is tired is 他/她累 (tā lèi),sentence;daily life,1
simplesentences2-001,vocab,Simple Sentences,Time + Action,HSK1,jīn tiān wǒ gōng zuò — 今天我工作,What does this mean?,Yesterday I worked,Today I work,Today I rest,Tomorrow I work,B,Yesterday is 昨天 (zuó tiān),Correct! 今天我工作 (jīn tiān wǒ gōng zuò) means 'Today I work',Today I rest is 今天我休息 (jīn tiān wǒ xiū xi),Tomorrow is 明天 (míng tiān),sentence;time;work,1
simplesentences2-002,vocab,Simple Sentences,Time + Action,HSK1,xiàn zài nǐ huí jiā — 现在你回家,What does this mean?,Later you go home,Now you go home,Now I go home,Now you are home,B,Later is 以后 (yǐ hòu) or 待会儿 (dāi huì er),Correct! 现在你回家 (xiàn zài nǐ huí jiā) means 'Now you go home',Now I go home is 现在我回家 (xiàn zài wǒ huí jiā),Now you are home is 现在你在家 (xiàn zài nǐ zài jiā),sentence;time,1
simplesentences2-003,vocab,Simple Sentences,Time + Action,HSK1,zǎo shang tā chī zǎo fàn — 早上他吃早饭,What does this mean?,In the evening he/she eats breakfast,In the morning he/she eats lunch,In the morning he/she eats breakfast,In the morning I eat breakfast,C,In the evening is 晚上 (wǎn shang),He/She eats lunch is 他/她吃午饭 (tā chī wǔ fàn),Correct! 早上他吃早饭 (zǎo shang tā chī zǎo fàn) means 'In the morning he/she eats breakfast',In the morning I eat breakfast is 早上我吃早饭,sentence;time;food,1
simplesentences2-004,vocab,Simple Sentences,Time + Action,HSK1,wǎn shang tā shuì jiào — 晚上她睡觉,What does this mean?,At night he/she works,At night I sleep,In the morning he/she sleeps,At night he/she sleeps,D,At night he/she works is 晚上他/她工作 (wǎn shang tā gōng zuò),At night I sleep is 晚上我睡觉 (wǎn shang wǒ shuì jiào),In the morning is 早上 (zǎo shang),"Correct! 晚上她睡觉 (wǎn shang tā shuì jiào) means 'At night he/she sleeps'. In speech, 他 and 她 are both pronounced tā.",sentence;time;daily life,1
simplesentences2-005,vocab,Simple Sentences,Time + Action,HSK1,yǐ hòu wǒ xué xí — 以后我学习,What does this mean?,Before I study,Now I study,Later I study,Later you study,C,Before is 以前 (yǐ qián),Now is 现在 (xiàn zài),Correct! 以后我学习 (yǐ hòu wǒ xué xí) means 'Later I study',Later you study is 以后你学习 (yǐ hòu nǐ xué xí),sentence;time,1
simplesentences2-006,vocab,Simple Sentences,Time + Action,HSK1,míng tiān tā shàng bān — 明天他上班,What does this mean?,Today he/she goes to work,Tomorrow he/she goes to work,Tomorrow he/she finishes work,Tomorrow I go to work,B,Today is 今天 (jīn tiān),Correct! 明天他上班 (míng tiān tā shàng bān) means 'Tomorrow he/she goes to work',Tomorrow he/she finishes work is 明天他/她下班 (míng tiān tā xià bān),Tomorrow I go to work is 明天我上班,sentence;time;work,1
simplesentences2-007,vocab,Simple Sentences,Time + Action,HSK1,zuó tiān wǒ xiū xi — 昨天我休息,What does this mean?,Tomorrow I rest,Today I rest,Yesterday I rested,Yesterday I worked,C,Tomorrow is 明天 (míng tiān),Today is 今天 (jīn tiān),Correct! 昨天我休息 (zuó tiān wǒ xiū xi) means 'Yesterday I rested',Yesterday I worked is 昨天我工作 (zuó tiān wǒ gōng zuò),sentence;time,1
simplesentences2-008,vocab,Simple Sentences,Time + Action,HSK1,xiàn zài wǒ chī fàn — 现在我吃饭,What does this mean?,Later I eat,Now you eat,Now I cook,Now I eat,D,Later is 以后 (yǐ hòu),Now you eat is 现在你吃饭 (xiàn zài nǐ chī fàn),Now I cook is 现在我做饭 (xiàn zài wǒ zuò fàn),Correct! 现在我吃饭 (xiàn zài wǒ chī fàn) means 'Now I eat',sentence;time;food,1
simplesentences2-009,vocab,Simple Sentences,Time + Action,HSK1,jīn tiān nǐ máng ma — 今天你忙吗,What does this mean?,Today you are busy,Are you busy today?,Today I am busy,Are you free today?,B,Statement form would be 今天你忙 (jīn tiān nǐ máng),Correct! 今天你忙吗 (jīn tiān nǐ máng ma) means 'Are you busy today?',Today I am busy is 今天我忙 (jīn tiān wǒ máng),Are you free today? is 今天你有空吗 (jīn tiān nǐ yǒu kòng ma),sentence;time;question,1
simplesentences2-010,vocab,Simple Sentences,Time + Action,HSK1,zhōng wǔ tā chī wǔ fàn — 中午她吃午饭,What does this mean?,At noon he/she eats lunch,At noon I eat lunch,At noon he/she eats dinner,In the evening he/she eats lunch,A,"Correct! 中午她吃午饭 (zhōng wǔ tā chī wǔ fàn) means 'At noon he/she eats lunch'. In speech, 他 and 她 are both pronounced tā.",At noon I eat lunch is 中午我吃午饭,At noon he/she eats dinner is 中午他/她吃晚饭,In the evening is 晚上 (wǎn shang),sentence;time;food,1
simplesentences2-011,vocab,Simple Sentences,Time + Action,HSK1,míng tiān wǒ qù — 明天我去,What does this mean?,Today I go,Tomorrow I come,Tomorrow I go,Tomorrow you go,C,Today I go is 今天我去 (jīn tiān wǒ qù),Tomorrow I come is 明天我来 (míng tiān wǒ lái),Correct! 明天我去 (míng tiān wǒ qù) means 'Tomorrow I go',Tomorrow you go is 明天你去 (míng tiān nǐ qù),sentence;time,1
simplesentences2-012,vocab,Simple Sentences,Time + Action,HSK1,xiàn zài tā zài jiā — 现在他在家,What does this mean?,Now he/she goes home,Now he/she is at home,Later he/she is at home,Now I am at home,B,Now he/she goes home is 现在他/她回家 (xiàn zài tā huí jiā),Correct! 现在他在家 (xiàn zài tā zài jiā) means 'Now he/she is at home',Later is 以后 (yǐ hòu),Now I am at home is 现在我在家,sentence;time;location,1
simplesentences2-013,vocab,Simple Sentences,Time + Action,HSK1,wǎn shang wǒ kàn diàn shì — 晚上我看电视,What does this mean?,In the morning I watch TV,At night I listen to music,At night I watch TV,At night you watch TV,C,In the morning is 早上 (zǎo shang),At night I listen to music is 晚上我听音乐,Correct! 晚上我看电视 (wǎn shang wǒ kàn diàn shì) means 'At night I watch TV',At night you watch TV is 晚上你看电视,sentence;time;entertainment,1
simplesentences2-014,vocab,Simple Sentences,Time + Action,HSK1,jīn tiān tā bù qù — 今天她不去,What does this mean?,Today he/she goes,Today he/she doesn't go,Today I don't go,Tomorrow he/she doesn't go,B,Today he/she goes is 今天他/她去 (jīn tiān tā qù),"Correct! 今天她不去 (jīn tiān tā bù qù) means 'Today he/she doesn't go'. In speech, 他 and 她 are both pronounced tā.",Today I don't go is 今天我不去,Tomorrow is 明天 (míng tiān),sentence;time;negation,1
simplesentences2-015,vocab,Simple Sentences,Time + Action,HSK1,zǎo shang nǐ qǐ chuáng — 早上你起床,What does this mean?,In the morning you sleep,In the evening you wake up,In the morning I wake up,In the morning you wake up,D,In the morning you sleep is 早上你睡觉,In the evening is 晚上 (wǎn shang),In the morning I wake up is 早上我起床,Correct! 早上你起床 (zǎo shang nǐ qǐ chuáng) means 'In the morning you wake up',sentence;time;daily life,1
simplesentences3-001,vocab,Simple Sentences,Needs & Preferences,HSK1,wǒ xū yào bāng zhù — 我需要帮助,What does this mean?,I need help,I can help,You need help,I want help,A,Correct! 我需要帮助 (wǒ xū yào bāng zhù) means 'I need help',I can help is 我可以帮忙 (wǒ kě yǐ bāng máng),You need help is 你需要帮助 (nǐ xū yào bāng zhù),I want help is 我想要帮助 (wǒ xiǎng yào bāng zhù),sentence;need,1
simplesentences3-002,vocab,Simple Sentences,Needs & Preferences,HSK1,nǐ yào shuǐ — 你要水,What does this mean?,You have water,You drink water,I want water,You want water,D,You have water is 你有水 (nǐ yǒu shuǐ),You drink water is 你喝水 (nǐ hē shuǐ),I want water is 我要水 (wǒ yào shuǐ),Correct! 你要水 (nǐ yào shuǐ) means 'You want water',sentence;want,1
simplesentences3-003,vocab,Simple Sentences,Needs & Preferences,HSK1,tā xǐ huān zhè ge — 他喜欢这个,What does this mean?,He/She wants this,He/She likes this,I like this,He/She has this,B,He/She wants this is 他/她要这个 (tā yào zhè ge),Correct! 他喜欢这个 (tā xǐ huān zhè ge) means 'He/She likes this',I like this is 我喜欢这个 (wǒ xǐ huān zhè ge),He/She has this is 他/她有这个 (tā yǒu zhè ge),sentence;preference,1
simplesentences3-004,vocab,Simple Sentences,Needs & Preferences,HSK1,tā bù xǐ huān zhè ge — 她不喜欢这个,What does this mean?,He/She likes this,He/She doesn't want this,He/She doesn't like this,I don't like this,C,He/She likes this is 他/她喜欢这个 (tā xǐ huān zhè ge),He/She doesn't want this is 他/她不要这个 (tā bù yào zhè ge),"Correct! 她不喜欢这个 (tā bù xǐ huān zhè ge) means 'He/She doesn't like this'. In speech, 他 and 她 are both pronounced tā.",I don't like this is 我不喜欢这个,sentence;preference;negation,1
simplesentences3-005,vocab,Simple Sentences,Needs & Preferences,HSK1,wǒ bù dǒng — 我不懂,What does this mean?,I understand,I don't know,I don't understand,You don't understand,C,I understand is 我懂 (wǒ dǒng),I don't know is 我不知道 (wǒ bù zhī dào),Correct! 我不懂 (wǒ bù dǒng) means 'I don't understand',You don't understand is 你不懂 (nǐ bù dǒng),sentence;understanding;negation,1
simplesentences3-006,vocab,Simple Sentences,Needs & Preferences,HSK1,nǐ néng bāng wǒ — 你能帮我,What does this mean?,I can help you,You help me,Can you help me?,You can help me,D,I can help you is 我能帮你 (wǒ néng bāng nǐ),You help me is 你帮我 (nǐ bāng wǒ),Can you help me? is 你能帮我吗 (nǐ néng bāng wǒ ma),Correct! 你能帮我 (nǐ néng bāng wǒ) means 'You can help me',sentence;ability,1
simplesentences3-007,vocab,Simple Sentences,Needs & Preferences,HSK1,tā xiǎng huí jiā — 他想回家,What does this mean?,He/She goes home,He/She wants to go home,I want to go home,He/She thinks of home,B,He/She goes home is 他/她回家 (tā huí jiā),Correct! 他想回家 (tā xiǎng huí jiā) means 'He/She wants to go home',I want to go home is 我想回家 (wǒ xiǎng huí jiā),"想 here means 'want to', not just 'think'",sentence;want,1
simplesentences3-008,vocab,Simple Sentences,Needs & Preferences,HSK1,wǒ huì shuō Zhōng wén — 我会说中文,What does this mean?,I speak Chinese,I can speak Chinese,I study Chinese,You can speak Chinese,B,I speak Chinese is 我说中文 (wǒ shuō Zhōng wén),Correct! 我会说中文 (wǒ huì shuō Zhōng wén) means 'I can speak Chinese',I study Chinese is 我学中文 (wǒ xué Zhōng wén),You can speak Chinese is 你会说中文,sentence;ability,1
simplesentences3-009,vocab,Simple Sentences,Needs & Preferences,HSK1,tā yǒu qián — 她有钱,What does this mean?,He/She needs money,I have money,He/She has money,He/She wants money,C,He/She needs money is 他/她需要钱 (tā xū yào qián),I have money is 我有钱 (wǒ yǒu qián),"Correct! 她有钱 (tā yǒu qián) means 'He/She has money'. In speech, 他 and 她 are both pronounced tā.",He/She wants money is 他/她要钱 (tā yào qián),sentence;possession,1
simplesentences3-010,vocab,Simple Sentences,Needs & Preferences,HSK1,wǒ bù yào — 我不要,What does this mean?,I want,I don't want,I don't have,You don't want,B,I want is 我要 (wǒ yào),Correct! 我不要 (wǒ bù yào) means 'I don't want',I don't have is 我没有 (wǒ méi yǒu),You don't want is 你不要 (nǐ bù yào),sentence;negation,1
simplesentences3-011,vocab,Simple Sentences,Needs & Preferences,HSK1,nǐ xǐ huān chī shén me — 你喜欢吃什么,What does this mean?,What do you like to eat?,What do you want to eat?,What are you eating?,Do you like eating?,A,Correct! 你喜欢吃什么 (nǐ xǐ huān chī shén me) means 'What do you like to eat?',What do you want to eat? is 你想吃什么 (nǐ xiǎng chī shén me),What are you eating? is 你在吃什么 (nǐ zài chī shén me),Do you like eating? is 你喜欢吃吗 (nǐ xǐ huān chī ma),sentence;preference;question,2
simplesentences3-012,vocab,Simple Sentences,Needs & Preferences,HSK1,tā xiǎng mǎi shū — 他想买书,What does this mean?,He/She buys a book,He/She reads a book,He/She wants to buy a book,I want to buy a book,C,He/She buys a book is 他/她买书 (tā mǎi shū),He/She reads a book is 他/她看书 (tā kàn shū),Correct! 他想买书 (tā xiǎng mǎi shū) means 'He/She wants to buy a book',I want to buy a book is 我想买书,sentence;want,1
simplesentences3-013,vocab,Simple Sentences,Needs & Preferences,HSK1,wǒ kě yǐ qù — 我可以去,What does this mean?,I go,I want to go,I can go,Can I go?,C,I go is 我去 (wǒ qù),I want to go is 我想去 (wǒ xiǎng qù),Correct! 我可以去 (wǒ kě yǐ qù) means 'I can go',Can I go? is 我可以去吗 (wǒ kě yǐ qù ma),sentence;permission,1
simplesentences3-014,vocab,Simple Sentences,Needs & Preferences,HSK1,tā bù néng lái — 她不能来,What does this mean?,He/She can come,He/She can't come,I can't come,He/She doesn't come,B,He/She can come is 他/她能来 (tā néng lái),"Correct! 她不能来 (tā bù néng lái) means 'He/She can't come'. In speech, 他 and 她 are both pronounced tā.",I can't come is 我不能来 (wǒ bù néng lái),He/She doesn't come is 他/她不来 (tā bù lái),sentence;ability;negation,1
simplesentences3-015,vocab,Simple Sentences,Needs & Preferences,HSK1,nǐ yǒu shí jiān ma — 你有时间吗,What does this mean?,You have time,What time is it?,Do you have time?,I have time,C,You have time is 你有时间 (nǐ yǒu shí jiān),What time is it? is 几点 (jǐ diǎn),Correct! 你有时间吗 (nǐ yǒu shí jiān ma) means 'Do you have time?',I have time is 我有时间 (wǒ yǒu shí jiān),sentence;question;time,1
simplesentences4-001,vocab,Simple Sentences,Statements & Questions,HSK1,nǐ hǎo ma — 你好吗,What does this mean?,Hello,Are you okay?,You are good,Goodbye,B,Hello is 你好 (nǐ hǎo),Correct! 你好吗 (nǐ hǎo ma) means 'Are you okay?' or 'How are you?',You are good is 你很好 (nǐ hěn hǎo),Goodbye is 再见 (zài jiàn),sentence;question;greeting,1
simplesentences4-002,vocab,Simple Sentences,Statements & Questions,HSK1,nǐ néng bāng wǒ ma — 你能帮我吗,What does this mean?,You can help me,I can help you,Can you help me?,Can I help you?,C,You can help me is 你能帮我 (nǐ néng bāng wǒ),I can help you is 我能帮你 (wǒ néng bāng nǐ),Correct! 你能帮我吗 (nǐ néng bāng wǒ ma) means 'Can you help me?',Can I help you? is 我能帮你吗 (wǒ néng bāng nǐ ma),sentence;question,1
simplesentences4-003,vocab,Simple Sentences,Statements & Questions,HSK1,nǐ dǒng ma — 你懂吗,What does this mean?,You understand,Do you understand?,I understand,Do you know?,B,You understand is 你懂 (nǐ dǒng),Correct! 你懂吗 (nǐ dǒng ma) means 'Do you understand?',I understand is 我懂 (wǒ dǒng),Do you know? is 你知道吗 (nǐ zhī dào ma),sentence;question,1
simplesentences4-004,vocab,Simple Sentences,Statements & Questions,HSK1,gōng jiāo chē zài nǎ lǐ — 公交车在哪里,What does this mean?,The bus is here,Where is the bus?,Is this the bus?,Where is the car?,B,The bus is here is 公交车在这里 (gōng jiāo chē zài zhè lǐ),Correct! 公交车在哪里 (gōng jiāo chē zài nǎ lǐ) means 'Where is the bus?',Is this the bus? is 这是公交车吗 (zhè shì gōng jiāo chē ma),Where is the car? is 车在哪里 (chē zài nǎ lǐ),sentence;question;location,1
simplesentences4-005,vocab,Simple Sentences,Statements & Questions,HSK1,tā hěn máng — 她很忙,What does this mean?,He/She is free,I am busy,He/She is busy,Is he/she busy?,C,He/She is free is 他/她有空 (tā yǒu kòng),I am busy is 我很忙 (wǒ hěn máng),"Correct! 她很忙 (tā hěn máng) means 'He/She is busy'. In speech, 他 and 她 are both pronounced tā.",Is he/she busy? is 他/她忙吗 (tā máng ma),sentence;statement,1
simplesentences4-006,vocab,Simple Sentences,Statements & Questions,HSK1,tā yǒu kòng — 他有空,What does this mean?,He/She is busy,I am free,He/She has time,He/She is free,D,He/She is busy is 他/她很忙 (tā hěn máng),I am free is 我有空 (wǒ yǒu kòng),He/She has time is 他/她有时间 (tā yǒu shí jiān),Correct! 他有空 (tā yǒu kòng) means 'He/She is free',sentence;statement,1
simplesentences4-007,vocab,Simple Sentences,Statements & Questions,HSK1,nǐ lèi ma — 你累吗,What does this mean?,You are tired,I am tired,Are you tired?,Are you busy?,C,You are tired is 你累 (nǐ lèi),I am tired is 我累 (wǒ lèi),Correct! 你累吗 (nǐ lèi ma) means 'Are you tired?',Are you busy? is 你忙吗 (nǐ máng ma),sentence;question,1
simplesentences4-008,vocab,Simple Sentences,Statements & Questions,HSK1,xiàn zài hái shì yǐ hòu — 现在还是以后,What does this mean?,Now and later,Now or later?,Not now but later,"Now, not later",B,Now and later would use 和 (hé) not 还是 (hái shì),Correct! 现在还是以后 (xiàn zài hái shì yǐ hòu) means 'Now or later?',Not now but later would be different structure,"Now, not later would be 现在，不是以后",sentence;question;time,2
simplesentences4-009,vocab,Simple Sentences,Statements & Questions,HSK1,zhè shì shén me — 这是什么,What does this mean?,This is it,What is this?,Where is this?,Is this it?,B,This is it would be 这是 (zhè shì) or 就是这个,Correct! 这是什么 (zhè shì shén me) means 'What is this?',Where is this? is 这在哪里 (zhè zài nǎ lǐ),Is this it? is 是这个吗 (shì zhè ge ma),sentence;question,1
simplesentences4-010,vocab,Simple Sentences,Statements & Questions,HSK1,wǒ hěn hǎo — 我很好,What does this mean?,I am good/fine,You are good,I am okay,Am I good?,A,Correct! 我很好 (wǒ hěn hǎo) means 'I am good/fine',You are good is 你很好 (nǐ hěn hǎo),I am okay is 我还行 (wǒ hái xíng) or 我可以 (wǒ kě yǐ),Am I good? is 我好吗 (wǒ hǎo ma),sentence;statement,1
simplesentences4-011,vocab,Simple Sentences,Statements & Questions,HSK1,nǐ shì shuí — 你是谁,What does this mean?,Who are you?,Where are you?,What are you?,Are you here?,A,Correct! 你是谁 (nǐ shì shuí) means 'Who are you?',Where are you? is 你在哪里 (nǐ zài nǎ lǐ),What are you? is 你是什么 (nǐ shì shén me),Are you here? is 你在这里吗 (nǐ zài zhè lǐ ma),sentence;question,1
simplesentences4-012,vocab,Simple Sentences,Statements & Questions,HSK1,tā zài nǎ lǐ — 他在哪里,What does this mean?,He/She is here,Where is he/she?,Where am I?,Is he/she there?,B,He/She is here is 他/她在这里 (tā zài zhè lǐ),Correct! 他在哪里 (tā zài nǎ lǐ) means 'Where is he/she?',Where am I? is 我在哪里 (wǒ zài nǎ lǐ),Is he/she there? is 他/她在那里吗 (tā zài nà lǐ ma),sentence;question;location,1
simplesentences4-013,vocab,Simple Sentences,Statements & Questions,HSK1,nǐ qù nǎ lǐ — 你去哪里,What does this mean?,Where do you go?,Where are you?,You go there,Where is it?,A,Correct! 你去哪里 (nǐ qù nǎ lǐ) means 'Where do you go?' or 'Where are you going?',Where are you? is 你在哪里 (nǐ zài nǎ lǐ),You go there is 你去那里 (nǐ qù nà lǐ),Where is it? is 它在哪里 (tā zài nǎ lǐ),sentence;question;location,1
simplesentences4-014,vocab,Simple Sentences,Statements & Questions,HSK1,wǒ bù zhī dào — 我不知道,What does this mean?,I know,I don't understand,You don't know,I don't know,D,I know is 我知道 (wǒ zhī dào),I don't understand is 我不懂 (wǒ bù dǒng),You don't know is 你不知道 (nǐ bù zhī dào),Correct! 我不知道 (wǒ bù zhī dào) means 'I don't know',sentence;statement;negation,1
simplesentences4-015,vocab,Simple Sentences,Statements & Questions,HSK1,zhè ge duō shǎo qián — 这个多少钱,What does this mean?,This is expensive,How much is this?,Do you have money?,This costs money,B,This is expensive is 这个很贵 (zhè ge hěn guì),Correct! 这个多少钱 (zhè ge duō shǎo qián) means 'How much is this?',Do you have money? is 你有钱吗 (nǐ yǒu qián ma),This costs money is 这个要钱 (zhè ge yào qián),sentence;question;shopping,1
